,Compound Name,,,,,,,,,,,,,,,,,,,,,
PlantName,thymol,carvacrol,eugenol,caryophyllene,p-cymene,hexane,geraniol,myrcene,acetone,sabinene,?-cyclocitral,camphene,pulegone,chavicol,safrole,linoleic acid,coumarin,acetic acid,spathulenol,piperitenone,salicylic acid,cinnamic acid
Origanum vulgare,19,21,13,11,11,8,5,5,1,5,7,4,4,2,0,0,2,3,3,3,0,1
Rosmarinus officinalis,20,21,11,8,16,6,10,1,5,4,8,3,5,3,0,1,1,5,1,4,0,0
Ocimum basilicum,11,11,15,10,5,11,6,8,4,2,5,2,2,3,1,2,3,4,4,2,3,3
Thymus vulgaris,19,22,10,9,12,6,8,2,1,5,4,4,5,1,0,2,0,3,2,2,2,1
Nigella sativa,4,4,2,0,3,2,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0
Allium sativum,5,6,7,1,2,6,1,0,2,0,3,0,2,1,0,0,1,1,0,1,0,0
Salvia officinalis,7,6,6,6,5,8,2,5,3,1,2,2,0,1,0,0,2,6,3,1,0,0
Syzygium aromaticum,5,5,11,2,1,3,3,0,4,1,2,1,3,1,0,0,2,0,0,0,0,0
Artemisia absinthium,2,3,5,4,2,7,2,1,2,2,1,1,0,1,0,0,4,3,1,0,0,1
Artemisia annua,1,1,4,4,1,8,1,1,2,2,1,1,0,2,0,0,5,2,1,0,0,1
Mentha pulegium,5,6,3,2,3,4,1,1,0,1,1,0,5,1,0,1,0,2,1,5,1,2
Cinnamon,3,3,6,2,0,1,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
Melissa officinalis,7,5,5,4,4,2,3,2,1,1,5,2,3,0,0,0,1,0,1,1,0,0
Mentha longifolia,3,3,3,2,1,2,1,2,0,1,1,0,5,0,0,1,0,2,1,3,1,2
Mentha piperita,8,9,8,3,3,6,1,1,2,2,0,0,6,1,0,2,1,4,1,5,1,3
Zataria multiflora,3,5,1,0,4,0,1,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0
Curcuma longa,3,5,3,0,3,3,2,0,0,1,1,1,2,1,0,1,0,1,0,1,1,0
Eucalyptus globulus,6,8,5,4,4,3,3,0,2,2,3,1,2,1,0,0,1,0,0,1,0,0
Tarragon,0,1,1,2,0,1,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,1
Cymbopogon citratus,3,3,3,2,1,1,3,1,2,2,5,1,1,0,0,0,1,1,0,0,0,0
